Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,15.473151,15.843669,15.054305,29.484381,15.199296,988800
1999-02-01,15.287895,15.360389,14.546855,28.671881,14.780449,502900
1999-03-01,14.659632,14.949593,13.757501,26.687500,13.757501,412200
1999-04-01,13.904748,15.477630,13.904748,29.265619,15.185760,350000
1999-05-01,15.234408,15.745195,15.072258,29.609381,15.364136,907900
1999-06-01,15.315482,16.085718,15.153324,30.640619,15.899238,581300
1999-07-01,16.078346,16.404650,15.613373,30.734381,16.045715,208100
1999-08-01,16.070192,16.429111,14.773153,29.265619,15.278914,395300
1999-09-01,15.172866,15.564422,14.561051,29.781250,15.548106,432900
1999-10-01,15.568848,15.979856,14.607099,29.937500,15.749701,397400
1999-11-01,15.782576,15.988074,14.993456,28.953119,15.231823,453400
1999-12-01,15.207169,15.700377,14.639986,28.140619,14.804384,2634100
2000-01-01,15.320705,15.320705,13.889559,27.640619,14.634086,1887600
2000-02-01,14.609272,14.617545,12.375689,24.281250,12.855498,1018600
2000-03-01,13.318757,14.344551,13.194671,26.734381,14.154284,1635500
2000-04-01,14.209786,15.668268,13.868087,28.484381,15.193224,1009300
2000-05-01,15.059871,15.393239,14.443140,28.421881,15.159888,2492500
2000-06-01,15.109870,15.951629,14.484815,27.250000,14.534816,10761200
2000-07-01,14.997632,15.593838,14.636542,27.671881,14.871665,3874900
2000-08-01,14.972436,15.753386,14.930448,28.750000,15.451090,681300
2000-09-01,15.577048,17.500038,15.467876,32.281250,17.348886,3679300
2000-10-01,17.331964,18.508871,16.696939,34.156250,18.508871,1225100
2000-11-01,18.576614,18.720551,18.068598,34.140621,18.500406,467600
2000-12-01,18.424208,18.652821,17.018684,33.187500,17.983921,487200
2001-01-01,18.110493,18.651756,16.529696,31.320000,17.221128,973100
2001-02-01,17.292603,17.985401,17.155138,31.969999,17.578518,532900
2001-03-01,17.485046,17.628006,15.560593,31.290001,17.204634,1341800
2001-04-01,17.326525,18.422932,16.578979,32.799999,18.162674,2151000
2001-05-01,18.273417,18.577976,17.664310,33.029999,18.290031,658900
2001-06-01,18.107296,18.218050,16.628813,31.150000,17.248993,802100
2001-07-01,17.288668,17.969070,16.357313,30.870001,17.216173,733600
2001-08-01,17.121361,17.550789,16.530199,29.770000,16.602697,811100
